Accession,Reason,Name,processed_reason
GSE10889,quality,Expression Profiling of the Developing Mouse Lung,Poor data quality associated with this experiment or unable to find data associated with experiment or unusable data
GSE166097,Pipeline,Murine hippocampus: Scramble (control) vs Antagomir-134,Pipeline problem full stop as indicated on the master sheet
GSE66540,platform,A potential role for snoRNA in PKR activation during metabolic stress,Platform issue. Unsupported Platform/unusable platform
GSE67933,pipeline,RNA profiling by deepSAGE sequencing in the cortex of a migraine mouse model after induction of cortical spreading depression,Pipeline problem full stop as indicated on the master sheet
GSE69104,pipeline,A  paracrine IGF1/IGF1R-PI3K signaling loop underlies resistance to CSF-1R inhibition in GBM,Pipeline problem full stop as indicated on the master sheet
GSE53696,pipeline,nELAVL HITS-CLIP in IMR-32 neuroblastoma cells,Pipeline problem full stop as indicated on the master sheet
GSE51424.1,quality,Cell type-specific ribosome profiling in vivo.,Poor data quality associated with this experiment or unable to find data associated with experiment or unusable data
GSE66478,single cell experiment,Biochemical fractionation of HEK293 nuclei and RNA-seq of chromatin-associated and soluble-nuclear RNA,Single cell Experiment
GSE53638,single cell exepriment,Characterization of differentiating adipose cells by high-throughput single-cell RNA-Seq,Single cell Experiment
GSE77564,single cell exepriment,Coupled electrophysiological recording and single-cell transcriptome analyses revealed molecular mechanisms underlying neuronal maturation,Single cell Experiment
GSE43431,quality,Extensive changes in DNA methylation are associated with expression of mutant huntingtin [mRNA-seq],Poor data quality associated with this experiment or unable to find data associated with experiment or unusable data
GSE39866,quality,A comprehensive view of the transcriptome during development of the mouse cerebral cortex,Poor data quality associated with this experiment or unable to find data associated with experiment or unusable data
GSE22917,stop on RNA-SEQ,"SAGE-Seq gene expression profiles of Hs578T, MCF7, and SUM159PT cells treated with STAT3 or non-targeting siRNAs, DMSO, or CXCR2, PTGIS, HAS1, PFKFB3, JAK, or NQO1 inhibitor",Pipeline problem full stop as indicated on the master sheet
GSE14362,stop on RNA-SEQ,Genome-wide annotation of small RNAs expressed in HeLa and HepG2 cells,Pipeline problem full stop as indicated on the master sheet
GSE23316,stop on RNA-SEQ,ENCODE Caltech RNA-seq,Pipeline problem full stop as indicated on the master sheet
GSE95194,stop on RNA-SEQ,Single-Cell RNA-seq study of E13.5 and P7 brain and Spinal Cord Pdgfra-GFP positive samples during development in Mice.,Pipeline problem full stop as indicated on the master sheet
GSE117174,unusable,Transcriptional profiling of drug-induced changes in mice nucleus accumbens and prefrontal cortex,Platform issue. Unsupported Platform/unusable platform
GSE113396,unusable,Potential role of gas6 in zebrafish hindbrain development,Platform issue. Unsupported Platform/unusable platform
GSE116215,unusable,Zebrafish control and csf1r mutant microglia transcriptomes,Platform issue. Unsupported Platform/unusable platform
